,feature_set,lookback,horizon,rmse,r2,val_loss,hidden_size,num_layers,dropout,lr
absolute_baseline_lb12_h1,baseline,12,1,0.049660427002448895,0.8813982009887695,0.11458293724347625,64,1,0.4,0.0005
absolute_baseline_lb12_h3,baseline,12,3,0.08363162301334354,0.6633531451225281,0.23952970023087242,64,1,0.4,0.0005
absolute_baseline_lb12_h6,baseline,12,6,0.09179887363611834,0.5944223403930664,0.368839298031832,32,1,0.4,0.0005
absolute_baseline_lb12_h12,baseline,12,12,0.12490660560978174,0.2494918704032898,0.542084252494469,32,1,0.4,0.0005
absolute_baseline_lb24_h1,baseline,24,1,0.052292573610754726,0.868740439414978,0.1261290411971379,128,2,0.2,0.0005
absolute_baseline_lb24_h3,baseline,24,3,0.0835081225648274,0.6651337146759033,0.23813837449670883,128,2,0.2,0.0005
absolute_baseline_lb24_h6,baseline,24,6,0.096108710861144,0.5568562746047974,0.3855782513621083,128,2,0.2,0.0005
absolute_baseline_lb24_h12,baseline,24,12,0.11331120045769405,0.38400495052337646,0.5464228238714369,64,2,0.3,0.0005
absolute_baseline_no_n2o_lb12_h1,baseline_no_n2o,12,1,0.19277800232836476,-0.787250280380249,1.5085437828511523,64,1,0.4,0.0005
absolute_baseline_no_n2o_lb12_h3,baseline_no_n2o,12,3,0.18630092390313033,-0.6705656051635742,1.415204326638527,64,1,0.4,0.0005
absolute_baseline_no_n2o_lb12_h6,baseline_no_n2o,12,6,0.16889971189345873,-0.372957706451416,1.1625872805976032,32,1,0.4,0.0005
absolute_baseline_no_n2o_lb12_h12,baseline_no_n2o,12,12,0.16356729521261695,-0.2869969606399536,1.0661678667784782,32,1,0.4,0.0005
absolute_baseline_no_n2o_lb24_h1,baseline_no_n2o,24,1,0.20397724581839258,-0.9971669912338257,1.659307837616979,64,1,0.2,0.0005
absolute_baseline_no_n2o_lb24_h3,baseline_no_n2o,24,3,0.20642741332327977,-1.0462028980255127,1.7563308245388038,64,1,0.2,0.0005
absolute_baseline_no_n2o_lb24_h6,baseline_no_n2o,24,6,0.18106751627980225,-0.5728965997695923,1.3817554380287205,32,1,0.2,0.0005
absolute_baseline_no_n2o_lb24_h12,baseline_no_n2o,24,12,0.1781380857713788,-0.5224573612213135,1.3145851452361073,32,1,0.3,0.0005
absolute_extended_lb12_h1,extended,12,1,0.04303608165151815,0.9109290838241577,0.08916889669438988,128,1,0.2,0.001
absolute_extended_lb12_h3,extended,12,3,0.07303061444553216,0.7432896494865417,0.23021460138261318,128,1,0.2,0.001
absolute_extended_lb12_h6,extended,12,6,0.10204970893113961,0.4987863302230835,0.3722825176654416,128,1,0.2,0.001
absolute_extended_lb12_h12,extended,12,12,0.11618378666658222,0.3506547808647156,0.5956517359274521,64,1,0.3,0.001
absolute_extended_lb24_h1,extended,24,1,0.05581057657823415,0.8504852652549744,0.1108122016875106,64,1,0.2,0.0005
absolute_extended_lb24_h3,extended,24,3,0.08225735939376427,0.6750897169113159,0.27670915354566095,64,1,0.2,0.0005
absolute_extended_lb24_h6,extended,24,6,0.10429386677493434,0.4781608581542969,0.37875369864336234,64,1,0.2,0.0005
absolute_extended_lb24_h12,extended,24,12,0.11962829511836685,0.3134070038795471,0.5449510865370956,64,1,0.3,0.0005
absolute_extended_no_n2o_lb12_h1,extended_no_n2o,12,1,0.17502137824166197,-0.47316908836364746,1.2306175271473956,64,1,0.4,0.0005
absolute_extended_no_n2o_lb12_h3,extended_no_n2o,12,3,0.17491336193555243,-0.47258198261260986,1.0664139715464491,64,1,0.4,0.0005
absolute_extended_no_n2o_lb12_h6,extended_no_n2o,12,6,0.16773694699593744,-0.3541189432144165,1.0268082049462879,32,1,0.4,0.0005
absolute_extended_no_n2o_lb12_h12,extended_no_n2o,12,12,0.17176825828445777,-0.4192875623703003,1.1724875215114208,32,1,0.4,0.0005
absolute_extended_no_n2o_lb24_h1,extended_no_n2o,24,1,0.18652866016685613,-0.6700986623764038,1.156267567586742,64,1,0.4,0.0005
absolute_extended_no_n2o_lb24_h3,extended_no_n2o,24,3,0.16336362006802962,-0.2815178632736206,1.1927898688601297,64,1,0.4,0.0005
absolute_extended_no_n2o_lb24_h6,extended_no_n2o,24,6,0.16195761229522473,-0.2584090232849121,0.9769800485095435,32,1,0.4,0.0005
absolute_extended_no_n2o_lb24_h12,extended_no_n2o,24,12,0.16965545947188815,-0.3809159994125366,1.110229631853208,32,1,0.4,0.0005
